DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO
20/11/2021,Consciência Negra,ESTADUAL,"O Dia Nacional da Consciência Negra é Feriado no Rio de Janeiro e celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",RJ,
03/10/2021,Mártires de Cunhaú e Uruaçu,ESTADUAL,"No dia 03 de outubro de 1645, ocorreu o Massacre de Uruaçu, onde 28 cristãos foram mortos por índios e soldados holandeses.",RN,
04/01/2021,Aniversário de Rondônia,ESTADUAL,Aniversário da data de criação do Estado de Rondônia.,RO,
18/06/2021,Evangélico,ESTADUAL,Dia 18 de Junho comemora-se o dia o evangélico no estado de Rondônia.,RO,
05/10/2021,Aniversário de Roraima,ESTADUAL,Comemorações do Aniversário da criação do Estado de Roraima.,RR,
20/11/2021,Consciência Negra,ESTADUAL,"O Dia Nacional da Consciência Negra é Feriado em Roraima e celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",RR,
20/09/2021,Proc. República Rio Grandense,ESTADUAL,"Em 1835 foi desencadeada a Revolução Farroupilha, que manifestava o descontentamento da Província de São Pedro do Rio Grande com o governo regencial do Império do Brasil. O movimento culminou na proclamação da República Rio-Grandense.",RS,
11/08/2021,Santa Catarina,ESTADUAL,"A Capitania de Santa Catarina foi criada em 11 de agosto de 1738. Em 28 de fevereiro de 1821 torna-se uma província, que viria a ser o atual estado de Santa Catarina com a Proclamação da República.",SC,
08/07/2021,Aniversário de Sergipe,ESTADUAL,Aniversário da Autonomia Política de Sergipe.,SE,
09/07/2021,Revolução Constitucionalista,ESTADUAL,A Revolução Constitucionalista de 1932 foi um movimento armado que tinha por objetivo a derrubada do Governo Provisório de Getúlio Vargas e a promulgação de uma nova constituição para o Brasil.,SP,
