mes_analise,ano_analise,atraso_medio_com_feriado,atraso_medio_sem_feriado,percentual_os_com_atraso,margem_dias_seguranca
1,2021,0.0,1.25,25.0,0.625
3,2021,0.0,-0.25,0.0,0.0
4,2021,0.0,4.0,100.0,2.0
5,2021,0.0,-0.25,0.0,0.0
6,2021,0.0,6.0,100.0,3.0
7,2021,0.0,-0.4,0.0,0.0
9,2021,0.0,-0.25,0.0,0.0
10,2021,0.0,4.0,100.0,2.0
11,2021,3.5,4.625,50.0,4.0625
12,2021,0.0,0.0,0.0,0.0
