Estado,Quantidade_Feriados
AC,6
AL,4
AM,2
AP,5
BA,1
BR,21
CE,2
DF,1
ES,1
GO,2
MA,1
MS,1
MT,1
PA,2
PB,2
PE,2
PI,1
PR,1
RJ,2
RN,1
RO,2
RR,1
RS,1
SC,2
SE,1
SP,1
TO,2
