ID,DATA,DIA_SEMANA,HORARIO,ESTADO,MUNICIPIO,CAUSA_ACIDENTE,TIPO_ACIDENTE,CLASSIFICACAO_ACIDENTE,FASE_DIA,SENTIDO_VIA,CONDICAO_METEREOLOGICA,TIPO_PISTA,TRACADO_VIA,PESSOAS,MORTOS,ILESOS,FERIDOS,VEICULOS,REGIONAL,MES
342551,23/02/2021,terça-feira,22:20:00,SP,MIRACATU,Manobra de mudança de faixa,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,3,0,0,3,1,SR-SP,
342573,24/02/2021,quarta-feira,07:10:00,SP,UBATUBA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,2,0,0,2,2,SR-SP,
342585,24/02/2021,quarta-feira,07:50:00,SP,CACAPAVA,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,3,0,1,2,2,SR-SP,
342597,24/02/2021,quarta-feira,09:09:00,SP,SAO PAULO,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,4,0,2,2,3,SR-SP,
342622,24/02/2021,quarta-feira,10:00:00,SP,MAIRIPORA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,3,0,2,1,3,SR-SP,
342639,24/02/2021,quarta-feira,14:10:00,SP,BARRA DO TURVO,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Reta,2,0,1,1,2,SR-SP,
342656,24/02/2021,quarta-feira,15:30:00,SP,MARILIA,Acumulo de óleo sobre o pavimento,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,2,0,0,2,1,SR-SP,
342674,24/02/2021,quarta-feira,17:05:00,SP,MIRACATU,Chuva,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Reta,1,0,0,1,1,SR-SP,
342675,24/02/2021,quarta-feira,16:00:00,SP,JUQUITIBA,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,1,0,1,0,1,SR-SP,
342691,24/02/2021,quarta-feira,18:50:00,SP,ATIBAIA,Chuva,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Múltipla,Reta,2,0,0,1,1,SR-SP,
342726,19/01/2021,terça-feira,19:40:00,SP,GUARULHOS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Interseção de vias,2,0,0,2,2,SR-SP,
342740,25/02/2021,quinta-feira,04:35:00,SP,ARUJA,Pista Escorregadia,Colisão com objeto,Sem Vítimas,Amanhecer,Decrescente,Chuva,Dupla,Não Informado,2,0,2,0,1,SR-SP,
342758,25/02/2021,quinta-feira,06:00:00,SP,MIRASSOL,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Não Informado,3,0,2,1,1,SR-SP,
342762,25/02/2021,quinta-feira,08:00:00,SP,EMBU DAS ARTES,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,3,0,1,2,2,SR-SP,
342774,25/02/2021,quinta-feira,09:20:00,SP,GUARATINGUETA,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,3,1,2,0,1,SR-SP,
342810,19/01/2021,terça-feira,11:15:00,SP,CANAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,2,0,1,1,2,SR-SP,
342813,25/02/2021,quinta-feira,14:10:00,SP,PINDAMONHANGABA,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,2,0,0,2,1,SR-SP,
342820,25/02/2021,quinta-feira,13:50:00,SP,BARRA DO TURVO,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,1,0,0,1,1,SR-SP,
342828,25/02/2021,quinta-feira,15:15:00,SP,CAJATI,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,1,0,0,1,1,SR-SP,
342847,25/02/2021,quinta-feira,11:22:00,SP,PINDAMONHANGABA,Mal súbito do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Não Informado,2,0,1,1,2,SR-SP,
342860,25/02/2021,quinta-feira,17:23:00,SP,SAO LOURENCO DA SERRA,Mal súbito do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,2,0,0,2,1,SR-SP,
342874,25/02/2021,quinta-feira,18:00:00,SP,GUARULHOS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Chuva,Múltipla,Reta,2,0,1,1,2,SR-SP,
342881,31/01/2021,domingo,05:20:00,SP,TABOAO DA SERRA,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Dupla,Reta,1,0,0,1,1,SR-SP,
342898,25/02/2021,quinta-feira,18:40:00,SP,MAIRIPORA,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Reta,2,0,1,1,2,SR-SP,
342905,25/02/2021,quinta-feira,20:00:00,SP,SANTA ISABEL,Objeto estático sobre o leito carroçável,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Curva,1,0,0,1,1,SR-SP,
342918,25/02/2021,quinta-feira,22:10:00,SP,TAUBATE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Reta,2,0,1,1,2,SR-SP,
342920,25/02/2021,quinta-feira,22:30:00,SP,TAUBATE,Chuva,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Dupla,Reta,2,0,1,1,1,SR-SP,
342923,25/02/2021,quinta-feira,22:15:00,SP,SAO JOSE DOS CAMPOS,Ingestão de álcool pelo condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Não Informado,2,0,2,0,2,SR-SP,
343009,26/02/2021,sexta-feira,11:30:00,SP,MAIRIPORA,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,2,0,1,1,1,SR-SP,
343013,26/02/2021,sexta-feira,11:40:00,SP,GUARULHOS,Acumulo de água sobre o pavimento,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Múltipla,Reta,1,0,0,1,1,SR-SP,
343058,26/02/2021,sexta-feira,14:50:00,SP,MARILIA,Reação tardia ou ineficiente do condutor,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Rotatória,1,0,1,0,1,SR-SP,
343072,26/02/2021,sexta-feira,17:00:00,SP,GUARULHOS,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,4,0,3,1,4,SR-SP,
343073,26/02/2021,sexta-feira,17:10:00,SP,SAO JOSE DO RIO PRETO,Reação tardia ou ineficiente do condutor,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Nublado,Simples,Desvio Temporário,2,0,1,1,2,SR-SP,
343098,26/02/2021,sexta-feira,17:00:00,SP,ATIBAIA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,3,0,2,1,2,SR-SP,
343101,26/02/2021,sexta-feira,18:45:00,SP,JACAREI,Trafegar com motocicleta (ou similar) entre as faixas,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Dupla,Reta,3,0,2,1,3,SR-SP,
343104,26/02/2021,sexta-feira,19:25:00,SP,CACHOEIRA PAULISTA,Velocidade Incompatível,Capotamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Curva,1,0,0,1,1,SR-SP,
343136,26/02/2021,sexta-feira,21:30:00,SP,JACAREI,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,1,0,0,1,1,SR-SP,
343153,27/02/2021,sábado,00:00:00,SP,TABOAO DA SERRA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,2,0,1,1,2,SR-SP,
